MSFS-Net Evaluation on LOL-Blur Dataset
==================================================
Total images : 1800
Average PSNR : 8.560 dB
Average SSIM : 0.2379

Per-image results:
  Image 0216: PSNR=9.941  SSIM=0.3420
  Image 0217: PSNR=9.901  SSIM=0.3476
  Image 0218: PSNR=9.870  SSIM=0.3549
  Image 0219: PSNR=9.639  SSIM=0.3107
  Image 0220: PSNR=9.591  SSIM=0.2977
  Image 0221: PSNR=9.553  SSIM=0.3093
  Image 0222: PSNR=9.525  SSIM=0.3113
  Image 0223: PSNR=9.511  SSIM=0.3070
  Image 0224: PSNR=9.477  SSIM=0.3124
  Image 0225: PSNR=9.435  SSIM=0.2995
  Image 0226: PSNR=9.438  SSIM=0.3022
  Image 0227: PSNR=9.512  SSIM=0.3079
  Image 0228: PSNR=9.592  SSIM=0.3050
  Image 0229: PSNR=9.600  SSIM=0.3146
  Image 0230: PSNR=9.655  SSIM=0.3261
  Image 0231: PSNR=9.533  SSIM=0.3173
  Image 0232: PSNR=9.466  SSIM=0.3102
  Image 0233: PSNR=9.471  SSIM=0.3148
  Image 0234: PSNR=9.459  SSIM=0.3121
  Image 0235: PSNR=9.447  SSIM=0.3085
  Image 0236: PSNR=9.383  SSIM=0.3079
  Image 0237: PSNR=9.358  SSIM=0.3144
  Image 0238: PSNR=9.355  SSIM=0.3120
  Image 0239: PSNR=9.419  SSIM=0.3096
  Image 0240: PSNR=9.533  SSIM=0.3172
  Image 0241: PSNR=6.303  SSIM=0.0810
  Image 0242: PSNR=6.265  SSIM=0.0761
  Image 0243: PSNR=6.252  SSIM=0.0725
  Image 0244: PSNR=6.329  SSIM=0.0762
  Image 0245: PSNR=6.356  SSIM=0.0784
  Image 0246: PSNR=6.389  SSIM=0.0790
  Image 0247: PSNR=6.471  SSIM=0.0758
  Image 0248: PSNR=6.538  SSIM=0.0692
  Image 0249: PSNR=6.599  SSIM=0.0673
  Image 0250: PSNR=6.723  SSIM=0.0809
  Image 0251: PSNR=6.697  SSIM=0.0765
  Image 0252: PSNR=6.715  SSIM=0.0784
  Image 0253: PSNR=6.708  SSIM=0.0768
  Image 0254: PSNR=6.647  SSIM=0.0630
  Image 0255: PSNR=6.705  SSIM=0.0623
  Image 0256: PSNR=6.771  SSIM=0.0636
  Image 0257: PSNR=6.855  SSIM=0.0639
  Image 0258: PSNR=6.999  SSIM=0.0672
  Image 0259: PSNR=7.082  SSIM=0.0581
  Image 0260: PSNR=7.214  SSIM=0.0682
  Image 0261: PSNR=7.132  SSIM=0.0634
  Image 0262: PSNR=7.075  SSIM=0.0648
  Image 0263: PSNR=6.988  SSIM=0.0623
  Image 0264: PSNR=6.992  SSIM=0.0696
  Image 0265: PSNR=6.991  SSIM=0.0647
  Image 0266: PSNR=7.022  SSIM=0.0596
  Image 0267: PSNR=7.105  SSIM=0.0629
  Image 0268: PSNR=7.153  SSIM=0.0642
  Image 0269: PSNR=7.153  SSIM=0.0611
  Image 0270: PSNR=7.164  SSIM=0.0567
  Image 0271: PSNR=9.724  SSIM=0.2984
  Image 0272: PSNR=9.789  SSIM=0.3453
  Image 0273: PSNR=9.532  SSIM=0.3683
  Image 0274: PSNR=9.252  SSIM=0.3781
  Image 0275: PSNR=8.919  SSIM=0.3559
  Image 0276: PSNR=8.735  SSIM=0.3461
  Image 0277: PSNR=8.481  SSIM=0.3262
  Image 0278: PSNR=8.635  SSIM=0.3711
  Image 0279: PSNR=8.472  SSIM=0.3323
  Image 0280: PSNR=8.445  SSIM=0.3257
  Image 0281: PSNR=8.529  SSIM=0.3283
  Image 0282: PSNR=8.718  SSIM=0.3623
  Image 0283: PSNR=8.726  SSIM=0.3704
  Image 0284: PSNR=8.764  SSIM=0.3787
  Image 0285: PSNR=8.711  SSIM=0.3669
  Image 0286: PSNR=8.728  SSIM=0.3633
  Image 0287: PSNR=8.810  SSIM=0.3705
  Image 0288: PSNR=8.803  SSIM=0.3658
  Image 0289: PSNR=8.710  SSIM=0.3483
  Image 0290: PSNR=8.658  SSIM=0.3356
  Image 0291: PSNR=8.672  SSIM=0.3315
  Image 0292: PSNR=8.644  SSIM=0.3202
  Image 0293: PSNR=8.653  SSIM=0.3122
  Image 0294: PSNR=8.701  SSIM=0.3085
  Image 0295: PSNR=8.769  SSIM=0.3084
  Image 0296: PSNR=8.829  SSIM=0.3015
  Image 0297: PSNR=8.884  SSIM=0.3023
  Image 0298: PSNR=8.942  SSIM=0.2992
  Image 0299: PSNR=9.032  SSIM=0.2973
  Image 0300: PSNR=9.146  SSIM=0.2993
  Image 0301: PSNR=6.695  SSIM=0.0712
  Image 0302: PSNR=6.719  SSIM=0.0709
  Image 0303: PSNR=6.747  SSIM=0.0724
  Image 0304: PSNR=6.776  SSIM=0.0694
  Image 0305: PSNR=6.839  SSIM=0.0750
  Image 0306: PSNR=6.910  SSIM=0.0741
  Image 0307: PSNR=6.921  SSIM=0.0668
  Image 0308: PSNR=6.920  SSIM=0.0617
  Image 0309: PSNR=6.938  SSIM=0.0794
  Image 0310: PSNR=6.856  SSIM=0.0953
  Image 0311: PSNR=6.741  SSIM=0.0887
  Image 0312: PSNR=6.792  SSIM=0.0947
  Image 0313: PSNR=6.711  SSIM=0.0763
  Image 0314: PSNR=6.699  SSIM=0.0738
  Image 0315: PSNR=6.657  SSIM=0.0722
  Image 0316: PSNR=6.653  SSIM=0.0725
  Image 0317: PSNR=6.626  SSIM=0.0758
  Image 0318: PSNR=6.638  SSIM=0.0933
  Image 0319: PSNR=6.565  SSIM=0.0842
  Image 0320: PSNR=6.429  SSIM=0.0804
  Image 0321: PSNR=6.363  SSIM=0.0782
  Image 0322: PSNR=6.324  SSIM=0.0761
  Image 0323: PSNR=6.333  SSIM=0.0782
  Image 0324: PSNR=6.382  SSIM=0.0774
  Image 0325: PSNR=6.526  SSIM=0.0790
  Image 0326: PSNR=6.615  SSIM=0.0752
  Image 0327: PSNR=6.694  SSIM=0.0733
  Image 0328: PSNR=6.841  SSIM=0.0738
  Image 0329: PSNR=6.942  SSIM=0.0669
  Image 0330: PSNR=6.964  SSIM=0.0645
  Image 0331: PSNR=10.767  SSIM=0.5661
  Image 0332: PSNR=10.862  SSIM=0.5907
  Image 0333: PSNR=10.665  SSIM=0.5528
  Image 0334: PSNR=10.649  SSIM=0.5695
  Image 0335: PSNR=10.855  SSIM=0.6063
  Image 0336: PSNR=10.658  SSIM=0.5850
  Image 0337: PSNR=10.531  SSIM=0.5817
  Image 0338: PSNR=10.951  SSIM=0.6083
  Image 0339: PSNR=11.158  SSIM=0.5921
  Image 0340: PSNR=11.010  SSIM=0.5565
  Image 0341: PSNR=11.208  SSIM=0.5691
  Image 0342: PSNR=11.301  SSIM=0.5472
  Image 0343: PSNR=11.390  SSIM=0.5513
  Image 0344: PSNR=11.197  SSIM=0.5152
  Image 0345: PSNR=11.228  SSIM=0.5378
  Image 0346: PSNR=11.289  SSIM=0.5634
  Image 0347: PSNR=11.394  SSIM=0.5851
  Image 0348: PSNR=11.272  SSIM=0.5746
  Image 0349: PSNR=11.203  SSIM=0.5675
  Image 0350: PSNR=11.120  SSIM=0.5720
  Image 0351: PSNR=11.084  SSIM=0.5827
  Image 0352: PSNR=10.849  SSIM=0.5756
  Image 0353: PSNR=10.885  SSIM=0.5655
  Image 0354: PSNR=11.042  SSIM=0.5800
  Image 0355: PSNR=10.806  SSIM=0.5518
  Image 0356: PSNR=10.969  SSIM=0.5842
  Image 0357: PSNR=11.234  SSIM=0.5992
  Image 0358: PSNR=11.035  SSIM=0.5663
  Image 0359: PSNR=10.998  SSIM=0.5613
  Image 0360: PSNR=11.102  SSIM=0.5464
  Image 0361: PSNR=7.070  SSIM=0.1192
  Image 0362: PSNR=7.042  SSIM=0.1112
  Image 0363: PSNR=7.075  SSIM=0.1063
  Image 0364: PSNR=7.075  SSIM=0.1065
  Image 0365: PSNR=7.182  SSIM=0.1200
  Image 0366: PSNR=7.188  SSIM=0.1112
  Image 0367: PSNR=7.125  SSIM=0.0992
  Image 0368: PSNR=7.119  SSIM=0.1042
  Image 0369: PSNR=7.201  SSIM=0.1367
  Image 0370: PSNR=6.878  SSIM=0.1240
  Image 0371: PSNR=6.801  SSIM=0.1308
  Image 0372: PSNR=6.552  SSIM=0.1083
  Image 0373: PSNR=6.736  SSIM=0.1180
  Image 0374: PSNR=6.798  SSIM=0.1130
  Image 0375: PSNR=6.867  SSIM=0.1162
  Image 0376: PSNR=6.924  SSIM=0.1151
  Image 0377: PSNR=6.929  SSIM=0.1084
  Image 0378: PSNR=6.923  SSIM=0.1078
  Image 0379: PSNR=6.932  SSIM=0.1045
  Image 0380: PSNR=7.009  SSIM=0.1108
  Image 0381: PSNR=6.988  SSIM=0.1106
  Image 0382: PSNR=6.996  SSIM=0.1103
  Image 0383: PSNR=7.018  SSIM=0.1120
  Image 0384: PSNR=6.990  SSIM=0.1083
  Image 0385: PSNR=6.985  SSIM=0.1101
  Image 0386: PSNR=7.032  SSIM=0.1088
  Image 0387: PSNR=7.131  SSIM=0.1146
  Image 0388: PSNR=7.167  SSIM=0.1143
  Image 0389: PSNR=7.127  SSIM=0.1092
  Image 0390: PSNR=7.085  SSIM=0.1070
  Image 0391: PSNR=8.522  SSIM=0.2456
  Image 0392: PSNR=8.595  SSIM=0.2639
  Image 0393: PSNR=8.688  SSIM=0.2831
  Image 0394: PSNR=8.633  SSIM=0.2660
  Image 0395: PSNR=8.722  SSIM=0.2681
  Image 0396: PSNR=8.706  SSIM=0.2789
  Image 0397: PSNR=8.668  SSIM=0.2462
  Image 0398: PSNR=8.783  SSIM=0.2507
  Image 0399: PSNR=8.951  SSIM=0.2832
  Image 0400: PSNR=8.782  SSIM=0.2605
  Image 0401: PSNR=8.943  SSIM=0.2873
  Image 0402: PSNR=8.948  SSIM=0.2999
  Image 0403: PSNR=8.826  SSIM=0.2708
  Image 0404: PSNR=8.911  SSIM=0.2956
  Image 0405: PSNR=9.006  SSIM=0.3088
  Image 0406: PSNR=8.844  SSIM=0.2870
  Image 0407: PSNR=8.817  SSIM=0.2607
  Image 0408: PSNR=8.928  SSIM=0.2761
  Image 0409: PSNR=8.859  SSIM=0.2589
  Image 0410: PSNR=8.960  SSIM=0.2633
  Image 0411: PSNR=8.917  SSIM=0.2632
  Image 0412: PSNR=8.748  SSIM=0.2609
  Image 0413: PSNR=8.689  SSIM=0.2516
  Image 0414: PSNR=8.867  SSIM=0.2791
  Image 0415: PSNR=8.623  SSIM=0.2258
  Image 0416: PSNR=8.731  SSIM=0.2528
  Image 0417: PSNR=8.684  SSIM=0.2519
  Image 0418: PSNR=8.614  SSIM=0.2542
  Image 0419: PSNR=8.581  SSIM=0.2522
  Image 0420: PSNR=8.727  SSIM=0.2919
  Image 0421: PSNR=7.316  SSIM=0.0540
  Image 0422: PSNR=7.379  SSIM=0.0580
  Image 0423: PSNR=7.397  SSIM=0.0612
  Image 0424: PSNR=7.378  SSIM=0.0594
  Image 0425: PSNR=7.398  SSIM=0.0596
  Image 0426: PSNR=7.393  SSIM=0.0542
  Image 0427: PSNR=7.448  SSIM=0.0582
  Image 0428: PSNR=7.498  SSIM=0.0581
  Image 0429: PSNR=7.533  SSIM=0.0585
  Image 0430: PSNR=7.553  SSIM=0.0566
  Image 0431: PSNR=7.601  SSIM=0.0565
  Image 0432: PSNR=7.667  SSIM=0.0572
  Image 0433: PSNR=7.713  SSIM=0.0577
  Image 0434: PSNR=7.772  SSIM=0.0579
  Image 0435: PSNR=7.869  SSIM=0.0598
  Image 0436: PSNR=7.915  SSIM=0.0582
  Image 0437: PSNR=7.977  SSIM=0.0584
  Image 0438: PSNR=8.063  SSIM=0.0587
  Image 0439: PSNR=8.137  SSIM=0.0587
  Image 0440: PSNR=8.186  SSIM=0.0592
  Image 0441: PSNR=8.290  SSIM=0.0596
  Image 0442: PSNR=8.381  SSIM=0.0602
  Image 0443: PSNR=8.476  SSIM=0.0599
  Image 0444: PSNR=8.580  SSIM=0.0602
  Image 0445: PSNR=8.643  SSIM=0.0607
  Image 0446: PSNR=8.714  SSIM=0.0605
  Image 0447: PSNR=8.814  SSIM=0.0612
  Image 0448: PSNR=8.883  SSIM=0.0610
  Image 0449: PSNR=8.953  SSIM=0.0615
  Image 0450: PSNR=9.020  SSIM=0.0605
  Image 0451: PSNR=9.245  SSIM=0.2331
  Image 0452: PSNR=9.170  SSIM=0.2319
  Image 0453: PSNR=9.124  SSIM=0.2317
  Image 0454: PSNR=9.078  SSIM=0.2290
  Image 0455: PSNR=8.996  SSIM=0.2296
  Image 0456: PSNR=8.929  SSIM=0.2227
  Image 0457: PSNR=8.883  SSIM=0.2228
  Image 0458: PSNR=8.796  SSIM=0.2176
  Image 0459: PSNR=8.740  SSIM=0.2153
  Image 0460: PSNR=8.724  SSIM=0.2181
  Image 0461: PSNR=8.659  SSIM=0.2184
  Image 0462: PSNR=8.659  SSIM=0.2269
  Image 0463: PSNR=8.652  SSIM=0.2287
  Image 0464: PSNR=8.600  SSIM=0.2309
  Image 0465: PSNR=8.539  SSIM=0.2272
  Image 0466: PSNR=8.548  SSIM=0.2343
  Image 0467: PSNR=8.507  SSIM=0.2319
  Image 0468: PSNR=8.457  SSIM=0.2330
  Image 0469: PSNR=8.443  SSIM=0.2299
  Image 0470: PSNR=8.372  SSIM=0.2178
  Image 0471: PSNR=8.343  SSIM=0.2171
  Image 0472: PSNR=8.366  SSIM=0.2188
  Image 0473: PSNR=8.330  SSIM=0.2211
  Image 0474: PSNR=8.325  SSIM=0.2219
  Image 0475: PSNR=8.351  SSIM=0.2271
  Image 0476: PSNR=8.344  SSIM=0.2360
  Image 0477: PSNR=8.312  SSIM=0.2370
  Image 0478: PSNR=8.294  SSIM=0.2365
  Image 0479: PSNR=8.239  SSIM=0.2340
  Image 0480: PSNR=8.258  SSIM=0.2363
  Image 0481: PSNR=6.642  SSIM=0.0825
  Image 0482: PSNR=6.712  SSIM=0.0846
  Image 0483: PSNR=6.724  SSIM=0.0949
  Image 0484: PSNR=6.736  SSIM=0.0972
  Image 0485: PSNR=6.650  SSIM=0.0760
  Image 0486: PSNR=6.793  SSIM=0.0892
  Image 0487: PSNR=6.787  SSIM=0.0868
  Image 0488: PSNR=6.645  SSIM=0.0783
  Image 0489: PSNR=6.619  SSIM=0.0770
  Image 0490: PSNR=6.660  SSIM=0.0865
  Image 0491: PSNR=6.628  SSIM=0.0801
  Image 0492: PSNR=6.634  SSIM=0.0780
  Image 0493: PSNR=6.624  SSIM=0.0801
